"NAVN","PARTI","STORKREDS","FACEBOOKSIDE","fbname","likes","talking.about","date"
"Klaus Hjulmand","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/HjulmandLA","Klaus Hjulmand",189,17,"10-06-2015"
"Klaus Markussen","Venstre","Nordsjællands Storkreds","https://www.facebook.com/pages/Klaus-Markussen-i-Folketinget/170651086300657","Klaus Markussen i Folketinget",299,161,"10-06-2015"
"Knud Damgaard","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/knuddla","Knud Damgaard",621,76,"10-06-2015"
"Kristian Andersen","Venstre","Nordjyllands Storkreds","https://www.facebook.com/stemkristian","Kristian Andersen - Nordjylland",2599,255,"10-06-2015"
"Kristian Hegaard","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/Khegaard","Kristian Hegaard",5173,2203,"10-06-2015"
"Kristian Jensen","Venstre","Vestjyllands Storkreds","https://www.facebook.com/kristianjensen.venstre","Kristian Jensen",16618,6078,"10-06-2015"
"Kristian Thulesen Dahl","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Kristian-Thulesen-Dahl/531761723507375","Kristian Thulesen Dahl",29274,19238,"10-06-2015"
"Kristian Tørning","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/kristiantorning","Kristian T�rning",2034,1180,"10-06-2015"
"Kristian Westfall","Socialdemokratiet","Københavns Storkreds","https://www.facebook.com/kristian.w.jensen","Kristian Westfall",1529,250,"10-06-2015"
"Kristina Jørgensen","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/Kristina.DanskFolkeparti?ref=br_tf","Kristina J�rgensen - Dansk Folkeparti",1227,688,"10-06-2015"
"Kristoffer Hjort Storm","Dansk Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/KristofferHjortStorm","Kristoffer Hjort Storm",873,378,"10-06-2015"
"Kåre Traberg Smidt","Venstre","Københavns Storkreds","https://www.facebook.com/kaaretrabergsmidt","K�re Traberg Smidt",2034,3533,"10-06-2015"
"Laila Lauridsen","Socialistisk Folkeparti","Østjyllands storkreds","https://www.facebook.com/lailalauridsen","Laila Lauridsen",1112,423,"10-06-2015"
"Lars Barfoed","Det Konservative Folkeparti","Københavns Storkreds","http://www.facebook.com/LarsBarfoed.Konservative","Lars Barfoed",11451,1288,"10-06-2015"
"Lars Chr. Lilleholt","Venstre","Fyns Storkreds","http://www.facebook.com/lilleholt","Lars Chr. Lilleholt",4584,2436,"10-06-2015"
"Lars Løkke Rasmussen","Venstre","Sjællands Storkreds","http://www.facebook.com/larsloekke","Lars L�kke Rasmussen",166190,51332,"10-06-2015"
"Laura Lindahl","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/politikerlauralindahl","Laura Lindahl",7943,2211,"10-06-2015"
"Lea Jannerup Lie","Alternativet","Fyns Storkreds","https://www.facebook.com/pages/Lea-Lie/427907994037061","Lea Lie",317,154,"10-06-2015"
"Lea Kielsholm","Enhedslisten","Vestjyllands Storkreds","https://www.facebook.com/lea.maria.kielsholm","Lea Maria Kielsholm",403,281,"10-06-2015"
"Leif Lahn Jensen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/LeifLahn","Leif Lahn Jensen",3361,708,"10-06-2015"
"Leif Mikkelsen","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/leif.mikkelsen.524","Leif Mikkelsen",3847,650,"10-06-2015"
"Lene Foged","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/pages/Lene-Foged-Folketingskandidat/441211119381442","Lene Foged",161,45,"10-06-2015"
"Line Vanggaard","Det Konservative Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/LineVanggaardPedersen","Line Vanggaard Pedersen",743,418,"10-06-2015"
"Lisbeth Bech Poulsen","Socialistisk Folkeparti","Nordjyllands storkreds","https://www.facebook.com/lisbethbechpoulsen","Lisbeth Bech Poulsen",5664,589,"10-06-2015"
"Lise Bech","Dansk Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/Lise.Bech.DF","Lise Bech - Dansk Folkeparti",1955,1055,"10-06-2015"
"Lise Müller","Socialistisk Folkeparti","Københavns Omegn","https://www.facebook.com/pages/Lise-M%C3%BCller/145989963343","Lise M�ller",725,217,"10-06-2015"
"Liselott Blixt","Dansk Folkeparti","Sjællands Storkreds","https://www.facebook.com/Pialiselottblixt","Liselott Blixt",1813,1010,"10-06-2015"
"Liv Holm Andersen","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/pages/Liv-Holm-Andersen/308871605863281","Liv Holm Andersen",2487,358,"10-06-2015"
"Lone Loklindt","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/lone.loklindt","Lone Loklindt",1865,544,"10-06-2015"
"Lotte Rod","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/lotterod","Lotte Rod",2757,780,"10-06-2015"
"Louise Lundbeck Krog","Radikale Venstre","Nordjyllands Storkreds","https://www.facebook.com/kroglouise","Louise Lundbeck Krog",107,19,"10-06-2015"
"Lynge Korsgaard","Alternativet","Østjyllands Storkreds","https://www.facebook.com/lyngekorsgaard.alternativet","Lynge Korsgaard - Alternativet",638,340,"10-06-2015"
"Mads Fuglede","Venstre","Københavns Omegns Storkreds","https://www.facebook.com/mads.fuglede","Mads Fuglede",6833,2880,"10-06-2015"
"Mads Rørvig","Venstre","Vestjyllands Storkreds","https://www.facebook.com/madsrorvig.dk","Mads R�rvig",1862,1044,"10-06-2015"
"Magnus Heunicke","Socialdemokratiet","Sjællands Storkreds","https://www.facebook.com/heunicke","Magnus Heunicke",12968,14751,"10-06-2015"
"Mai Mercado","Det Konservative Folkeparti","Fyns Storkreds","https://www.facebook.com/maimercado.dk","Mai Mercado",8525,2823,"10-06-2015"
"Maja Panduro","Socialdemokratiet","Østjyllands Storkreds","http://da-dk.facebook.com/majapanduro","Maja Panduro",6348,1574,"10-06-2015"
"Maja Wolff Albrechtsen","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/albrechtsenmaja","Maja Albrechtsen",299,191,"10-06-2015"
"Malene Ravn Neumann","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/maleneravnneumann","Malene Ravn Neumann i Folketinget",632,194,"10-06-2015"
"Malene Rye Andersen","Enhedslisten","Fyns Storkreds","https://www.facebook.com/pages/Malene-Rye-Andersen-Enhedslisten/448899691891792","Malene Rye Andersen, folketingskandidat for Enhedslisten 2015",120,12,"10-06-2015"
"Malte Bang","Enhedslisten","Vestjyllands Storkreds","https://www.facebook.com/MalteBang1","Malte Bang",1288,141,"10-06-2015"
"Malte Larsen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/stemMalteLarsenIfolketinget","Malte Larsen i Folketinget",828,269,"10-06-2015"
"Manu Sareen","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/manu.sareen","Manu Sareen",21774,5070,"10-06-2015"
"Marcus Knuth","Venstre","Sjællands Storkreds","https://www.facebook.com/marcusknuth100","Marcus Knuth",308,20,"10-06-2015"
"Maria Reumert Gjerding","Enhedslisten","Nordsjællands Storkreds","https://www.facebook.com/maria.gjerding","Maria Reumert Gjerding",1877,981,"10-06-2015"
"Mariann Nørgaard","Venstre","Nordjyllands Storkreds","https://www.facebook.com/mariannnoergaard","Mariann N�rgaard",840,402,"10-06-2015"
"Marianne Jelved","Radikale Venstre","Nordjyllands Storkreds","https://www.facebook.com/jelved","Marianne Jelved",8141,1680,"10-06-2015"
"Marie Yvonne Rasmussen","Socialistisk Folkeparti","Fyns storkreds","https://www.facebook.com/pages/Marie-Yvonne-Rasmussen/186600161419","Marie Yvonne Rasmussen",431,17,"10-06-2015"
"Mark Grossmann","Venstre","Fyns Storkreds","https://www.facebook.com/markgrossmann.politiker","Mark Grossmann",892,265,"10-06-2015"
"Marlene Borst Hansen","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/pages/Marlene-Borst-Hansen/1495181064054338","Marlene Borst Hansen",2035,376,"10-06-2015"
"Martin Geertsen","Venstre","Københavns Storkreds","https://www.facebook.com/martin.geertsen","Martin Geertsen",9874,6267,"10-06-2015"
"Martin Kusk Madsen","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/McKusk","Martin K. Madsen",2046,852,"10-06-2015"
"Martin Lidegaard","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/martin.lidegaard","Martin Lidegaard",9477,3003,"10-06-2015"
"Mathias Mogensen Brosbøl","KristenDemokraterne","Østjyllands storkreds","https://www.facebook.com/mathiasbrosboelKD","Mathias M. Brosb�l",140,191,"10-06-2015"
"Mathias von Jessen","Radikale Venstre","Fyns Storkreds","https://www.facebook.com/mathiasvjessen","Mathias von Jessen",436,457,"10-06-2015"
"Mattias Tesfaye","Socialdemokratiet","Københavns Omegns Storkreds","https://www.facebook.com/stemtesfaye","Mattias Tesfaye",16629,16906,"10-06-2015"
"May-Britt Kattrup","Liberal Alliance","Nordsjællands Storkreds","https://www.facebook.com/mbkattrup","May-Britt Kattrup",459,86,"10-06-2015"
"Merete Riisager","Liberal Alliance","Fyns Storkreds","https://www.facebook.com/merete.riisager","Merete Riisager",11501,7077,"10-06-2015"
"Mette Abildgaard","Det Konservative Folkeparti","Nordsjællands Storkreds","https://www.facebook.com/abildgaard.mette","Mette Abildgaard",3799,1081,"10-06-2015"
"Mette Bock","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/mette.bock.5","Mette Bock",8547,2489,"10-06-2015"
"Mette Frederiksen","Socialdemokratiet","Københavns Omegns Storkreds","https://www.facebook.com/mettefrederiksen.dk","Mette Frederiksen",29867,19064,"10-06-2015"
"Mette Reissmann","Socialdemokratiet","Københavns Storkreds","http://www.facebook.com/mettereissmann","Mette Reissmann",6125,809,"10-06-2015"
"Mette Thiesen","Det Konservative Folkeparti","Nordsjællands Storkreds","https://www.facebook.com/mette.thiesen","Mette Thiesen",2897,1044,"10-06-2015"
"Mia Nyegaard","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/mianyegaardft","Mia Nyegaard",1087,119,"10-06-2015"
"Michael Aastrup Jensen","Venstre","Østjyllands Storkreds","https://www.facebook.com/michaelaastrup","Michael Aastrup Jensen",6035,725,"10-06-2015"
"Michael Blem Clausen","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/michael.blemclausen","Michael Blem Clausen",1023,505,"10-06-2015"
"Michael Jellesmark","Venstre","Københavns Storkreds","https://www.facebook.com/pages/Michael-Jellesmark/573681519405216","Michael Jellesmark",176,134,"10-06-2015"
"Michael Melchert","Liberal Alliance","Københavns Omegns Storkreds","https://www.facebook.com/Melchert.dk","Michael Melchert",193,81,"10-06-2015"
"Michael Nedersøe","Dansk Folkeparti","Østjyllands Storkreds","https://www.facebook.com/pages/Michael-Neders%C3%B8e-Dansk-Folkeparti/1448006052123626","Michael Neders�e - Dansk Folkeparti",495,241,"10-06-2015"
"Mike Legarth","Det Konservative Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/mike.legarth","Mike Legarth",12629,1137,"10-06-2015"
"Miki Dam Larsen","Socialdemokratiet","Nordsjællands Storkreds","https://www.facebook.com/miki.dam.larsen","Miki Dam Larsen",2183,274,"10-06-2015"
"Mikkel Dragmose-Hansen","Socialistisk Folkeparti","Fyns storkreds","https://www.facebook.com/pages/Mikkel-Dragmose-Hansen/55402727258","Mikkel Dragmose-Hansen",1434,282,"10-06-2015"
"Mikkel Lundemann Jensen","Det Konservative Folkeparti","Sjællands Storkreds","https://www.facebook.com/stemMIKKEL","Mikkel Lundemann Jensen",1215,538,"10-06-2015"
"Mogens Jensen","Socialdemokratiet","Vestjyllands Storkreds","https://www.facebook.com/mogensjensen","Mogens Jensen",8077,2878,"10-06-2015"
"Mogens Lykketoft","Socialdemokratiet","Københavns Omegns Storkreds","http://www.facebook.com/lykketoft","Mogens Lykketoft",12354,2086,"10-06-2015"
"Mogens Nyholm","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/RadikaleVenstre.MogensNyholm","Mogens Nyholm",7,0,"10-06-2015"
"Morten Bødskov","Socialdemokratiet","Københavns Omegns Storkreds","http://www.facebook.com/mortenbodskov","Morten B�dskov",8322,1587,"10-06-2015"
"Morten Ellehauge","Alternativet","Københavns omegns Storkreds","https://www.facebook.com/Entropicture.dk","Morten Ellehauge",192,69,"10-06-2015"
"Morten Løkkegaard","Venstre","Københavns Omegns Storkreds","https://www.facebook.com/morten.lokkegaard","Morten L�kkegaard",14766,815,"10-06-2015"
"Morten Marinus","Dansk Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/StemMortenMarinus","Morten Marinus",1160,194,"10-06-2015"
"Morten Ryom","Socialdemokratiet","Nordjyllands Storkreds","https://www.facebook.com/ryom18","Morten Ryom",1818,785,"10-06-2015"
"Morten Thiessen","Det Konservative Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/thiessenmorten","Morten Thiessen",276,105,"10-06-2015"
"Morten Østergaard","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/oestergaard","Morten �stergaard",14956,3183,"10-06-2015"
"Nick Hækkerup","Socialdemokratiet","Nordsjællands Storkreds","https://www.facebook.com/nickhaekkerup","Nick H�kkerup",12288,930,"10-06-2015"
"Nicolai Wammen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/nicolaiwammen","Nicolai Wammen",13069,6135,"10-06-2015"
"Nicolaj Dupont-Mersing","Venstre","Vestjyllands Storkreds","https://www.facebook.com/nicolajdupontmersing","Nicolaj Dupont-Mersing",103,38,"10-06-2015"
"Niels Møller Jessen","KristenDemokraterne","Sydjyllands storkreds","https://www.facebook.com/nielsibyraad","Stem Niels M�ller Jessen og KD i folketinget",156,140,"10-06-2015"
"Niels Wanning","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/niels.wanning","Niels Wanning",717,130,"10-06-2015"
"Niels Westy","Liberal Alliance","Nordsjællands Storkreds","https://www.facebook.com/niels.westy","Niels Westy",1273,509,"10-06-2015"
"Niko H. Grünfeld","Alternativet","Østjyllands Storkreds","https://www.facebook.com/nikogrunfeld.dk","Niko H. Gr�nfeld",3121,1126,"10-06-2015"
"Nikolaj Amstrup","Alternativet","Fyns Storkreds","https://www.facebook.com/NikolajAmstrupAlternativet","Nikolaj Amstrup",374,138,"10-06-2015"
"Nikolaj Villumsen","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/nikolaj.villumsen","Nikolaj Villumsen",5098,2788,"10-06-2015"
"Noura Bendali","Nationalpartiet","Fyns Storkreds","https://www.facebook.com/pages/Noura-Bendali/486968118137846","Noura Bendali",607,232,"10-06-2015"
"Ole Hækkerup","Socialdemokratiet","Sjællands Storkreds","https://www.facebook.com/ole.haekkerup","Ole H�kkerup",4841,1229,"10-06-2015"
"Ole Lynggaard Jørgensen","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/pages/Ole-Lynggaard-J%C3%B8rgensen/297280080474770","Ole Lynggaard J�rgensen",161,23,"10-06-2015"
"Orla Hav","Socialdemokratiet","Nordjyllands Storkreds","https://www.facebook.com/havorla","Orla Hav",787,577,"10-06-2015"
"Orla Østerby","Det Konservative Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/OrlaOsterbyIFolketinget","Orla �sterby i Folketinget",338,269,"10-06-2015"
"Patrick Donovan","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/patrickdonovanifolketinget","Patrick Donovan - Liberal Alliance",238,33,"10-06-2015"
"Paw Amdissen","Socialistisk Folkeparti","Østjyllands storkreds","https://www.facebook.com/pages/Paw-Amdisen-i-folketinget/135980726440944","Paw Amdisen i folketinget",219,85,"10-06-2015"
"Peder Tørnqvist","Det Konservative Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Peder-T%C3%B8rnqvist/419200721571789","Peder T�rnqvist",259,123,"10-06-2015"
"Per Bisgaard","Venstre","Nordjyllands Storkreds","https://www.facebook.com/pages/Per-Bisgaard/766775343362733","Per Bisgaard",242,50,"10-06-2015"
"PER FROSTHOLM","Liberal Alliance","Bornholms Storkreds","https://www.facebook.com/pages/Per-B-Frostholm/1563903933887503","Per B. Frostholm",289,28,"10-06-2015"
"Per Løkken","Det Konservative Folkeparti","Østjyllands Storkreds","https://www.facebook.com/plokken","Per L�kken",1189,83,"10-06-2015"
"Per Nørhave","Dansk Folkeparti","Sjællands Storkreds","https://www.facebook.com/pages/Per-N%C3%B8rhave/171689096208824","Per N�rhave",324,83,"10-06-2015"
"Pernille Bloch","Det Konservative Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/Pernille.Bloch.i.Folketinget","Pernille Bloch i Folketinget",86,27,"10-06-2015"
"Pernille Boye Koch","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/PernilleBoyeKoch","Pernille Boye Koch",689,466,"10-06-2015"
"Pernille Rosenkrantz-Theil","Socialdemokratiet","Sjællands Storkreds","http://www.facebook.com/pernillerosenkrantz","Pernille Rosenkrantz-Theil",27016,21649,"10-06-2015"
"Pernille Skipper","Enhedslisten","Fyns Storkreds","http://digitalkommunikation.net/valgkamp/fv15/folketingskandidaterne-paa-facebook/www.facebook.com/pernille.skipper.5","Pernille Skipper",15880,6240,"10-06-2015"
"Pernille Vermund","Det Konservative Folkeparti","Nordsjællands Storkreds","https://www.facebook.com/MindreStatMereMenneske","Pernille Vermund i Folketinget. Mindre Stat - Mere Menneske",1467,255,"10-06-2015"
"Peter Christensen","Venstre","Sydjyllands Storkreds","https://www.facebook.com/peterchristensen.dk","Peter Christensen",6470,1461,"10-06-2015"
"Peter Kofod Poulsen","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/peterifolketinget","Peter Kofod Poulsen",1035,2001,"10-06-2015"
"Peter Skaarup","Dansk Folkeparti","Københavns Storkreds","https://www.facebook.com/pages/Peter-Skaarup/691707047549076","Peter Skaarup",22651,30181,"10-06-2015"
"Pia Kjærsgaard","Dansk Folkeparti","Københavns Omegns Storkreds","http://www.facebook.com/pages/Pia-Kj%C3%A6rsgaard/33510214383","Pia Kj�rsgaard",111324,68864,"10-06-2015"
"Pia Olsen Dyhr","Socialistisk Folkeparti","Københavns storkreds","http://www.facebook.com/politiker.pia.olsen.dyhr","Pia Olsen Dyhr",27049,10506,"10-06-2015"
"Preben Bang Henriksen","Venstre","Nordjyllands Storkreds","https://www.facebook.com/preben.banghenriksen","Preben Bang Henriksen",946,1155,"10-06-2015"
"Preben Bille Brahe","Dansk Folkeparti","Københavns Storkreds","https://www.facebook.com/DFValby","Preben Bille Brahe i Folketinget",215,405,"10-06-2015"
"Qasam N. Ahmad","Alternativet","Københavns omegns Storkreds","https://www.facebook.com/pages/Qasam-N-Ahmad-Alternativet/298157037041855","Qasam N. Ahmad - Alternativet",640,311,"10-06-2015"
"Rasmus Helveg Petersen","Radikale Venstre","Sjællands Storkreds","https://www.facebook.com/rasmus.helveg.petersen","Rasmus Helveg Petersen",2689,601,"10-06-2015"
"Rasmus Jarlov","Det Konservative Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/jarlov","Rasmus Jarlov",3667,1460,"10-06-2015"
"Rasmus Nordqvist","Alternativet","Sjællands Storkreds","https://www.facebook.com/rasmus.nordqvist","Rasmus Nordqvist",1715,449,"10-06-2015"
"Rasmus Peter Henriksen","Socialistisk Folkeparti","Fyns storkreds","https://www.facebook.com/rasmus.peter.henriksen","Rasmus Peter Henriksen",237,150,"10-06-2015"
"Rasmus Prehn","Socialdemokratiet","Nordjyllands Storkreds","https://www.facebook.com/rasmus.prehn","Rasmus Prehn",6453,3004,"10-06-2015"
"Rene Gade","Alternativet","Vestjyllands storkreds","https://www.facebook.com/pages/Ren%C3%A9-Gade/1634197106810421","Ren� Gade",618,289,"10-06-2015"
"René Danielsson","Det Konservative Folkeparti","Bornholms Storkreds","https://www.facebook.com/ReneMiniDanielsson","Ren� Danielsson - Mere borger og lokalsamfund, mindre kommune.",399,19,"10-06-2015"
"Rikke Jakobsen","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/rikkejakobsen.liberalalliance","Rikke Jakobsen Liberal Alliance",109,21,"10-06-2015"
"Roger Matthisen","Alternativet","Fyns Storkreds","https://www.facebook.com/pages/Roger-Matthisen/54513516440","Roger Matthisen",459,163,"10-06-2015"
"Rolf Bjerre","Alternativet","Københavns Storkreds","https://www.facebook.com/rolf.bjerre","Rolf Bjerre",4607,1122,"10-06-2015"
"Ronja Rose Ravnskov","Socialistisk Folkeparti","Sjællands storkreds","https://www.facebook.com/StemRonja","Stem Ronja Ravnskov",425,178,"10-06-2015"
"Rosa Lund","Enhedslisten","Københavns Storkreds","http://www.facebook.com/RosaLund.dk","Rosa Lund",4242,2369,"10-06-2015"
"Rune Christiansen","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/RuneChristiansenRadikaleVenstre","Rune Christiansen - Radikal folketingskandidat i Sydjylland",416,294,"10-06-2015"
"Rune Kristensen","Det Konservative Folkeparti","Sjællands Storkreds","https://www.facebook.com/RuneKristenseniFolketinget","Rune Kristensen i Folketinget",987,169,"10-06-2015"
"Rune Lundgaard Jørgensen","Alternativet","Københavns Storkreds","https://www.facebook.com/flerevedmere","Rune Lundgaard J�rgensen",470,147,"10-06-2015"
"Rune Wingård","Alternativet","Københavns Storkreds","https://www.facebook.com/rune.wingaard","Rune Wing�rd",1062,366,"10-06-2015"
"Samina Shah","Det Konservative Folkeparti","Østjyllands Storkreds","https://www.facebook.com/pages/Samina-Shah/712243365561025","Samina Shah",218,75,"10-06-2015"
"Samira Nawa Amini","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/SAMIRA.NAWA","Samira Nawa Amini",3719,927,"10-06-2015"
"Sander Jensen","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/radikalesander","Sander Jensen",610,104,"10-06-2015"
"Sanne Bjørn","Radikale Venstre","Vestjyllands Storkreds","https://www.facebook.com/radikalesanne","Sanne Bj�rn",259,96,"10-06-2015"
"Sanne Rubinke","Socialistisk Folkeparti","Østjyllands storkreds","https://www.facebook.com/pages/Sanne-Rubinke/170528347870","Sanne Rubinke",403,86,"10-06-2015"
"Sarah Maria Grønbæk","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/pages/Sarah-Maria-Gr%C3%B8nb%C3%A6k-i-Folketinget/631589350267891","Sarah Maria Gr�nb�k i Folketinget",143,51,"10-06-2015"
"Sascha Qvortrup","Alternativet","Vestjyllands storkreds","https://www.facebook.com/pages/Sascha-Qvortrup-Alternativet/856687047737575","Sascha Qvortrup - Alternativet",301,61,"10-06-2015"
"Sean Littlewood","Radikale Venstre","Sjællands Storkreds","https://www.facebook.com/pages/Sean-Littlewood/308656075921772","Sean Littlewood",180,28,"10-06-2015"
"Serdal Benli","Socialistisk Folkeparti","Københavns Omegn","https://www.facebook.com/serdalbenli","Serdal Benli",2568,1165,"10-06-2015"
"Signe Munk","Socialistisk Folkeparti","Vestjyllands storkreds","https://www.facebook.com/signe.munk.5","Signe Munk",2434,1024,"10-06-2015"
"Simon Emil Ammitzbøll","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/SimonEmil","Simon Emil Ammitzb�ll",19532,18230,"10-06-2015"
"Simon Kollerup","Socialdemokratiet","Nordjyllands Storkreds","https://www.facebook.com/simonkollerup","Simon Kollerup",3146,579,"10-06-2015"
"Sine Heltberg","Socialdemokratiet","Københavns Storkreds","https://www.facebook.com/sine.heltberg","Sine Olsson Heltberg",590,130,"10-06-2015"
"Sisse Marie Welling","Socialistisk Folkeparti","Københavns storkreds","https://www.facebook.com/pages/Sisse-Marie-Berendt-Welling/174887643104","Sisse Marie Berendt Welling",1329,561,"10-06-2015"
"Sofie Carsten Nielsen","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/sofiecarstennielsen","Sofie Carsten Nielsen",5894,1820,"10-06-2015"
"Sophie Danneris Jensen","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/SophieDanneris","Sophie Danneris",994,210,"10-06-2015"
"Sophie Løhde","Venstre","Nordsjællands Storkreds","https://www.facebook.com/SophieLoehde","Sophie L�hde",11383,3212,"10-06-2015"
"Steen Gade","Socialistisk Folkeparti","Vestjyllands storkreds","http://www.facebook.com/pages/Steen-Gade/65668597602","Steen Gade",2138,734,"10-06-2015"
"Steen Holm Iversen","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/SteenHolmIversen","Steen Holm Iversen i Folketinget",538,164,"10-06-2015"
"Steen Rågård","Alternativet","Østjyllands Storkreds","https://www.facebook.com/s.raagaard","Steen R�g�rd",315,74,"10-06-2015"
"Steffen Troldtoft","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/LASteffenTroldtoft","Steffen Troldtoft - Liberal Alliance",73,27,"10-06-2015"
"Stephan Kleinschmidt","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/KleinschmidtDK","Stephan Kleinschmidt i Folketinget",1885,885,"10-06-2015"
"Stine Brix","Enhedslisten","Nordjyllands Storkreds","http://www.facebook.com/stinebrixel","Stine Brix",7805,4888,"10-06-2015"
"Susanne Eilersen","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Susanne-Eilersen/126751254065787","Susanne Eilersen",325,177,"10-06-2015"
"Susanne Mathiesen","Socialistisk Folkeparti","Sydjyllands storkreds","https://www.facebook.com/Susanne.Mathiesen.SF","Susanne Mathiesen",412,66,"10-06-2015"
"Susanne Wad Leth","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/SusanneWadLethpolitiker","Susanne Wad Leth",82,24,"10-06-2015"
"Svend Thorhauge","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/SvendThorhauge","Svend Thorhauge",1378,1066,"10-06-2015"
"Søren Bo Søndergaard","Enhedslisten","Københavns Omegns Storkreds","https://www.facebook.com/pages/S%C3%B8ren-S%C3%B8ndergaard/47908701568","S�ren S�ndergaard",19998,3090,"10-06-2015"
"Søren Burchharth","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/pages/S%C3%B8ren-Burcharth/158974520968105","S�ren Burcharth",118,48,"10-06-2015"
"Søren Espersen","Dansk Folkeparti","Sjællands Storkreds","https://www.facebook.com/sorenespersen","S�ren Espersen",9400,47,"10-06-2015"
"Søren Gade","Venstre","Nordjyllands Storkreds","https://www.facebook.com/gadesoeren","S�ren Gade",7838,6403,"10-06-2015"
"Søren Juliussen","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/sorenjuliussen","S�ren Juliussen",866,689,"10-06-2015"
"Søren Lund Hansen","Dansk Folkeparti","Københavns Storkreds","http://digitalkommunikation.net/valgkamp/fv15/folketingskandidaterne-paa-facebook/www.facebook.com/SLundHansen","S�ren Lund Hansen - Folketingskandidat - Dansk Folkeparti",3889,2384,"10-06-2015"
"Søren Pape Poulsen","Det Konservative Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/SorenPapePoulsen","S�ren Pape Poulsen",23992,6269,"10-06-2015"
"Søren Pind","Venstre","Københavns Storkreds","https://www.facebook.com/vsorenpind","S�ren Pind",24748,8495,"10-06-2015"
"Søren Vanting","Det Konservative Folkeparti","Østjyllands Storkreds","https://www.facebook.com/pages/S%C3%B8ren-Vanting/213762135321831","S�ren Vanting",437,69,"10-06-2015"
"Søren-Michael Pihl","Det Konservative Folkeparti","Københavns Storkreds","https://www.facebook.com/soerenmichaelpihl","S�ren-Michael Pihl",280,125,"10-06-2015"
"Teis Volstrup","Socialistisk Folkeparti","Nordsjællands Storkreds","https://www.facebook.com/stemteis","Teis Volstrup",4443,2335,"10-06-2015"
