"NAVN","PARTI","STORKREDS","FACEBOOKSIDE","fbname","likes","talking.about","date"
"Joachim B. Olsen","Liberal Alliance","Københavns Omegns Storkreds","https://www.facebook.com/pages/Joachim-B-Olsen/164752600281593","Joachim B. Olsen",21390,7615,"15-06-2015"
"Johanne Schmidt-Nielsen","Enhedslisten","Københavns Storkreds","http://www.facebook.com/johanneschmidt","Johanne Schmidt-Nielsen",118393,70865,"15-06-2015"
"John E. Nyborg","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/brugforjohn","John Nyborg",744,375,"15-06-2015"
"Johnny F. Andresen","Dansk Folkeparti","Østjyllands Storkreds","https://www.facebook.com/dfjohnny","DF - Johnny F. Andresen",268,36,"15-06-2015"
"Johnny Heinmann","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/pages/Johnny-Heinmann-Liberal-Alliance/1512050925714726","Johnny Heinmann - Liberal Alliance",310,156,"15-06-2015"
"Jonas Dahl","Socialistisk Folkeparti","Østjyllands storkreds","http://www.facebook.com/jonasdahl.dk","Jonas Dahl",5007,819,"15-06-2015"
"Jonathan Nielsen","Liberal Alliance","Nordsjællands Storkreds","https://www.facebook.com/folketingskandidat","Jonathan Nielsen",1298,385,"15-06-2015"
"Jonna Buch Andersen","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/JBAradikalevenstre","Jonna Buch Andersen, Det Radikale Venstre",238,51,"15-06-2015"
"Josephine Fock","Alternativet","Østjyllands Storkreds","https://www.facebook.com/JosephineFockAlternativet","Josephine Fock",2183,1288,"15-06-2015"
"Julie Gottschalk","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/juliegottschalk.df","Julie Gottschalk - Dansk Folkeparti",995,279,"15-06-2015"
"Jørn Traberg Pedersen","Alternativet","Vestjyllands storkreds","https://www.facebook.com/pages/J%C3%B8rn-Trabjerg-Pedersen/1599919910265798","J�rn Trabjerg Pedersen",240,185,"15-06-2015"
"Kaare Dybvad","Socialdemokratiet","Sjællands Storkreds","https://www.facebook.com/kaaredybvad","Kaare Dybvad",2793,849,"15-06-2015"
"Karen Ellemann","Venstre","Københavns Omegns Storkreds","https://www.facebook.com/karen.ellemann","Karen Ellemann",6911,767,"15-06-2015"
"Karen Johanne Klint","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/KarenKlintSocialdemokraterne","Karen J. Klint - Socialdemokraterne",840,398,"15-06-2015"
"Karen Melchior","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/KarenMelchiorDK","Karen Melchior",1990,803,"15-06-2015"
"Karin Nødgaard","Dansk Folkeparti","Sjællands Storkreds","https://www.facebook.com/karinnodgaard","Karin N�dgaard",645,123,"15-06-2015"
"Karina Adsbøl","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Karina-Adsb%C3%B8l/1546433252297862","Karina Adsb�l",1035,331,"15-06-2015"
"Karina Bergmann","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/KarinaBergmannLA","Karina Bergmann",814,292,"15-06-2015"
"Karina Lorentzen","Socialistisk Folkeparti","Sydjyllands storkreds","https://www.facebook.com/karinalorentzendehnhardt","Karina Lorentzen Dehnhardt",2451,768,"15-06-2015"
"KARINA ROHRBERG JESSEN","Venstre","Københavns Storkreds","https://www.facebook.com/KarinaRohrbergJessen","Karina Rohrberg Jessen",1060,414,"15-06-2015"
"Karl Magnus Bidstrup","Alternativet","Fyns Storkreds","https://www.facebook.com/karlmagnusbidstrup.alternativet","Karl Magnus Bidstrup",498,340,"15-06-2015"
"Karl Plougstrup-Petersen","Venstre","Sydjyllands Storkreds","https://www.facebook.com/KarlPlougstrupPetersen","Karl Plougstrup-Petersen i Folketinget",133,14,"15-06-2015"
"Karsten Lauritsen","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/stem.karsten.lauritsen","Karsten Lauritsen",349,3,"15-06-2015"
"Karsten Lauritzen","Venstre","Nordjyllands Storkreds","https://www.facebook.com/stemlauritzen","Karsten Lauritzen",7344,1562,"15-06-2015"
"Karsten Nonbo","Venstre","Sjællands Storkreds","https://www.facebook.com/karstennonbov","Karsten Nonbo",321,294,"15-06-2015"
"Karsten Steen Andersen","Liberal Alliance","Nordsjællands Storkreds","https://www.facebook.com/KarstenAndersenLAGribskov","Karsten Andersen - Folketings kandidat Liberal Alliance Gribskov",130,37,"15-06-2015"
"Kashif Ahmad","Nationalpartiet","Københavns Storkreds","https://www.facebook.com/KashifAhmadDK","Kashif Ahmad",6497,4462,"15-06-2015"
"Kasper Heumann Kristensen","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/KasperHeumannKristensen","Kasper Heumann Kristensen",1266,367,"15-06-2015"
